date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:24	1189/1189	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11d4b0-4a5%22	https://www.candicecai.me/wp-content/uploads/2020/01/Path-7-1.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/Path-7-1.svg	(from https://www.candicecai.me/)
21:31:27	59258/59258	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:31:26%20GMT	https://www.candicecai.me/about	/Users/josh/websites/disi/www.candicecai.me/about.html	(from https://www.candicecai.me/)
21:31:28	63410/63410	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:31:26%20GMT	https://www.candicecai.me/ar-visual	/Users/josh/websites/disi/www.candicecai.me/ar-visual.html	(from https://www.candicecai.me/)
21:31:30	174130/174130	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:31:28%20GMT	https://www.candicecai.me/project/quitime	/Users/josh/websites/disi/www.candicecai.me/project/quitime.html	(from https://www.candicecai.me/)
21:31:31	66907/66907	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:31:29%20GMT	https://www.candicecai.me/project/dashboard	/Users/josh/websites/disi/www.candicecai.me/project/dashboard.html	(from https://www.candicecai.me/)
21:31:39	62562/62562	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:31:37%20GMT	https://www.candicecai.me/project/cari-ar-experience-for-passengers	/Users/josh/websites/disi/www.candicecai.me/project/cari-ar-experience-for-passengers.html	(from https://www.candicecai.me/)
21:31:41	64256/64256	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:31:40%20GMT	https://www.candicecai.me/project/design-challenge	/Users/josh/websites/disi/www.candicecai.me/project/design-challenge.html	(from https://www.candicecai.me/)
21:32:21	298856/298856	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225ed344c5-48f68%22	https://www.candicecai.me/wp-content/uploads/2020/05/1.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/05/1.jpg	(from https://www.candicecai.me/)
21:32:31	672365/672365	---M-Z	200	added ('OK')	image/png	etag:W/%225e31b29f-a426d%22	https://www.candicecai.me/wp-content/uploads/2020/01/Night-mode.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/Night-mode.png	(from https://www.candicecai.me/)
21:32:31	53919/53919	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:32:30%20GMT	https://www.candicecai.me/project/samsung-health	/Users/josh/websites/disi/www.candicecai.me/project/samsung-health.html	(from https://www.candicecai.me/)
21:32:38	89330/89330	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:32:36%20GMT	https://www.candicecai.me/project/homechef	/Users/josh/websites/disi/www.candicecai.me/project/homechef.html	(from https://www.candicecai.me/)
21:32:53	77515/77515	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225f1534bf-12ecb%22	https://www.candicecai.me/wp-content/uploads/2020/07/Samsung-cover.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/07/Samsung-cover.jpg	(from https://www.candicecai.me/)
21:33:17	502770/502770	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e114589-7abf2%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/js/frontend.scripts.min.js?ver=5.0.2	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/js/frontend.scripts.mince52.js	(from https://www.candicecai.me/)
21:33:32	597523/597523	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e281696-91e13%22	https://www.candicecai.me/wp-content/uploads/2020/01/homechef.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/homechef.jpg	(from https://www.candicecai.me/)
21:33:35	160453/160453	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ee1c086-272c5%22	https://www.candicecai.me/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.13-9993131	/Users/josh/websites/disi/www.candicecai.me/wp-includes/js/mediaelement/mediaelement-and-player.minc270.js	(from https://www.candicecai.me/)
21:33:44	1193/1193	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ee1c086-4a9%22	https://www.candicecai.me/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=5.4.2	/Users/josh/websites/disi/www.candicecai.me/wp-includes/js/mediaelement/mediaelement-migrate.min7661.js	(from https://www.candicecai.me/)
21:33:55	54302/54302	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e114589-d41e%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/js/frontend.min.js?ver=5.0.2	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/js/frontend.mince52.js	(from https://www.candicecai.me/)
21:34:00	1434/1434	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ee1c086-59a%22	https://www.candicecai.me/wp-includes/js/wp-embed.min.js?ver=5.4.2	/Users/josh/websites/disi/www.candicecai.me/wp-includes/js/wp-embed.min7661.js	(from https://www.candicecai.me/)
21:34:06	737/737	---M-Z	200	added ('OK')	image/png	etag:W/%225e114589-2e1%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/select_box_arrow.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/select_box_arrow.png	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:08	1401/1401	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-579%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_image.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_image.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:08	1948/1948	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-79c%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallery.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallery.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:10	2015/2015	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-7df%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallerygrid.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallerygrid.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:10	637/637	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-27d%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_video.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_video.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:11	1141/1141	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-475%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_oembed.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_oembed.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:13	1167/1167	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-48f%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_portfoliogrid.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_portfoliogrid.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:13	1141/1141	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-475%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_code.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_code.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:14	4021/4021	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-fb5%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_dribbble.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_dribbble.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:15	1385/1385	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-569%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_instagram.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_instagram.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:16	1401/1401	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e11458a-579%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_beforeafter.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_beforeafter.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:19	568/568	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e114589-238%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/icons/password_submit.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/icons/password_submit.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:20	4350/4350	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e114589-10fe%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_old.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_old.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:21	2246/2246	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e114589-8c6%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_recent.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/mediaelement/controls_recent.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:22	547/547	---M-Z	200	added ('OK')	image/png	etag:W/%225e114589-223%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.png	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:22	18197/18197	---M-Z	200	added ('OK')	image/png	etag:W/%225e114589-4715%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/mediaelement/bigplay.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/mediaelement/bigplay.png	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:24	3190/3190	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e114589-c76%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/photoswipe/default-skin.svg	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:28	51309/51309	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Oct%202020%2013:34:26%20GMT	https://www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/photoswipe/preloader.gif	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/images/frontend/photoswipe/preloader.gif	(from https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2)
21:34:32	4598/4598	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ee1c086-11f6%22	https://www.candicecai.me/wp-includes/js/mediaelement/mejs-controls.svg	/Users/josh/websites/disi/www.candicecai.me/wp-includes/js/mediaelement/mejs-controls.svg	(from https://www.candicecai.me/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.13-9993131)
21:34:32	2270/2270	---M-Z	200	added ('OK')	application/json	date:Thu,%2015%20Oct%202020%2013:34:32%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2Far-visual	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embedde1f.json	(from https://www.candicecai.me/ar-visual)
21:34:34	2367/2367	---M-Z	200	added ('OK')	text/xml	date:Thu,%2015%20Oct%202020%2013:34:34%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2Far-visual&format=xml	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embed9001	(from https://www.candicecai.me/ar-visual)
21:34:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2013:34:34%20GMT	https://www.candicecai.me/?p=287	/Users/josh/websites/disi/www.candicecai.me/index486a.html	(from https://www.candicecai.me/ar-visual)
21:34:45	98445/98445	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e26ee5e-1808d%22	https://www.candicecai.me/wp-content/uploads/2020/01/arposter2.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/arposter2.jpg	(from https://www.candicecai.me/ar-visual)
21:37:56	132618/132618	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e130d16-2060a%22	https://www.candicecai.me/wp-content/uploads/2020/01/3.jpeg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/3.jpg	(from https://www.candicecai.me/ar-visual)
21:40:10	122333/122333	---M-Z	200	added ('OK')	image/png	etag:W/%225e1310aa-1dddd%22	https://www.candicecai.me/wp-content/uploads/2020/01/2d0ba446-0bd5-4bf0-ac07-98bf136f2c07_rw_1200.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/2d0ba446-0bd5-4bf0-ac07-98bf136f2c07_rw_1200.png	(from https://www.candicecai.me/ar-visual)
21:40:22	69633/69633	---M-Z	200	added ('OK')	image/png	etag:W/%225e1310a9-11001%22	https://www.candicecai.me/wp-content/uploads/2020/01/3aab5611-1515-4c55-a5fe-05952ec81a60_rw_1200.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/3aab5611-1515-4c55-a5fe-05952ec81a60_rw_1200.png	(from https://www.candicecai.me/ar-visual)
21:40:41	68270/68270	---M-Z	200	added ('OK')	image/png	etag:W/%225e1310a7-10aae%22	https://www.candicecai.me/wp-content/uploads/2020/01/25cb0669-0102-4396-a373-d0b9fbb53413_rw_1200.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/25cb0669-0102-4396-a373-d0b9fbb53413_rw_1200.png	(from https://www.candicecai.me/ar-visual)
21:40:42	717/717	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2285bf4b099aa6e0fdf29048a6e0a82b95%22	https://www.candicecai.me/about/feed	/Users/josh/websites/disi/www.candicecai.me/about/feed	(from https://www.candicecai.me/about)
21:40:44	2234/2234	---M-Z	200	added ('OK')	application/json	date:Thu,%2015%20Oct%202020%2013:40:43%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2Fabout	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embed2c49.json	(from https://www.candicecai.me/about)
21:40:44	2329/2329	---M-Z	200	added ('OK')	text/xml	date:Thu,%2015%20Oct%202020%2013:40:44%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2Fabout&format=xml	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embedc8c7	(from https://www.candicecai.me/about)
21:41:09	56602/56602	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e14782b-dd1a%22	https://www.candicecai.me/wp-content/uploads/2020/01/WechatIMG255.jpeg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/WechatIMG255.jpg	(from https://www.candicecai.me/about)
21:44:32	505301/505301	---M-Z	200	added ('OK')	image/png	etag:W/%225e41cebe-7b5d5%22	https://www.candicecai.me/wp-content/uploads/2020/02/Design-process.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/02/Design-process.png	(from https://www.candicecai.me/about)
21:45:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2013:44:39%20GMT	https://www.candicecai.me/?p=2	/Users/josh/websites/disi/www.candicecai.me/index905b.html	(from https://www.candicecai.me/about)
21:45:47	2262/2262	---M-Z	200	added ('OK')	application/json	date:Thu,%2015%20Oct%202020%2013:45:45%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2Fproject%2Fquitime	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embed8204.json	(from https://www.candicecai.me/project/quitime)
21:45:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2013:45:45%20GMT	https://www.candicecai.me/?p=20	/Users/josh/websites/disi/www.candicecai.me/index341b.html	(from https://www.candicecai.me/project/quitime)
21:45:48	2355/2355	---M-Z	200	added ('OK')	text/xml	date:Thu,%2015%20Oct%202020%2013:45:48%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2Fproject%2Fquitime&format=xml	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embede641	(from https://www.candicecai.me/project/quitime)
21:49:01	1098844/1098844	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e280dd2-10c45c%22	https://www.candicecai.me/wp-content/uploads/2020/01/Quitime-cover-page.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/Quitime-cover-page.jpg	(from https://www.candicecai.me/project/quitime)
21:49:48	2422400/2422400	---M-Z	200	added ('OK')	image/gif	etag:W/%225e37e202-24f680%22	https://www.candicecai.me/wp-content/uploads/2020/02/animation-1-min.gif	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/02/animation-1-min.gif	(from https://www.candicecai.me/project/quitime)
21:50:16	221287/221287	---M-Z	200	added ('OK')	image/png	etag:W/%225e1262f7-36067%22	https://www.candicecai.me/wp-content/uploads/2020/01/process.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/process.png	(from https://www.candicecai.me/project/quitime)
21:51:00	37448/37448	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e1275ca-9248%22	https://www.candicecai.me/wp-content/uploads/2020/01/never-too-late-to-stop-smoking-old-man-breaks-cigarette-154882576-5759ae185f9b5892e83ada0c.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/never-too-late-to-stop-smoking-old-man-breaks-cigarette-154882576-5759ae185f9b5892e83ada0c.jpg	(from https://www.candicecai.me/project/quitime)
21:52:46	811438/811438	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e127683-c61ae%22	https://www.candicecai.me/wp-content/uploads/2020/01/achievement-activity-adolescent-arms-347135.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/achievement-activity-adolescent-arms-347135.jpg	(from https://www.candicecai.me/project/quitime)
21:52:50	28092/28092	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e12bf21-6dbc%22	https://www.candicecai.me/wp-content/uploads/2020/01/104573453-56a133825f9b58b7d0bcfc6f.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/104573453-56a133825f9b58b7d0bcfc6f.jpg	(from https://www.candicecai.me/project/quitime)
21:52:59	98300/98300	---M-Z	200	added ('OK')	image/png	etag:W/%225e4f49aa-17ffc%22	https://www.candicecai.me/wp-content/uploads/2020/02/SET-Factors.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/02/SET-Factors.png	(from https://www.candicecai.me/project/quitime)
21:53:01	8043/8043	---M-Z	200	added ('OK')	image/png	etag:W/%225e1292f5-1f6b%22	https://www.candicecai.me/wp-content/uploads/2020/01/user-interview-1.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/user-interview-1.png	(from https://www.candicecai.me/project/quitime)
21:53:02	7343/7343	---M-Z	200	added ('OK')	image/png	etag:W/%225e1292f5-1caf%22	https://www.candicecai.me/wp-content/uploads/2020/01/secondary-research-2.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/secondary-research-2.png	(from https://www.candicecai.me/project/quitime)
21:53:03	3916/3916	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e12b599-f4c%22	https://www.candicecai.me/wp-content/uploads/2020/01/motivation1.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/motivation1.svg	(from https://www.candicecai.me/project/quitime)
21:53:03	6568/6568	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e12b599-19a8%22	https://www.candicecai.me/wp-content/uploads/2020/01/motivation2.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/motivation2.svg	(from https://www.candicecai.me/project/quitime)
21:53:04	3397/3397	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e12b599-d45%22	https://www.candicecai.me/wp-content/uploads/2020/01/motivation3.svg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/motivation3.svg	(from https://www.candicecai.me/project/quitime)
21:53:06	231858/231858	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e11826b-389b2%22	https://www.candicecai.me/wp-content/uploads/2020/01/AR-Fitness-Experience-Quitime-Territory-map.jpg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/AR-Fitness-Experience-Quitime-Territory-map.jpg	(from https://www.candicecai.me/project/quitime)
21:53:08	30309/30309	---M-Z	200	added ('OK')	image/jpeg	etag:W/%225e12ba1d-7665%22	https://www.candicecai.me/wp-content/uploads/2020/01/6VvuHGsoU2QBt9MXeXNdDuyd4Bmd63j7zJymDTWgdcJjo12F3Mb8v59rfbXEA7bHv5XQh8KQYFPusT7Greu5Uky3hToXgPrtZnjCoLMQcQkRnmdA8uehhS1yPVbRFC.jpeg	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/6VvuHGsoU2QBt9MXeXNdDuyd4Bmd63j7zJymDTWgdcJjo12F3Mb8v59rfbXEA7bHv5XQh8KQYFPusT7Greu5Uky3hToXgPrtZnjCoLMQcQkRnmdA8uehhS1yPVbRFC.jpg	(from https://www.candicecai.me/project/quitime)
